SERIALNO,HINCP,NP,WGTP,DOWNTOWN,NORTHEAST,NORTHWEST,SOUTHEAST,WEST,AGEP,DDRS,ENG,DEAR,DEYE,DOUT,MIG,HISP,JWMNP,BIKING,DRIVING,TRANSIT,WALKING,MALE,FEMALE,SCHL,WHITE_ALONE,BLACK_ALONE,NATIVE_INDIAN,ASIAN_ALONE,PACIFIC_ISLANDER,OTHER_RACE
76,36737,57597.183712355865,1,122,0.0,0.0,1.0,0.0,0.0,55.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
77,36900,4188.886088171335,1,242,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
78,38017,170382.94163636907,1,146,1.0,0.0,0.0,0.0,0.0,94.0,1.0,0.5240049415992813,0.0,1.0,0.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
79,38037,209.44430440856678,1,70,0.0,1.0,0.0,0.0,0.0,58.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
80,38499,263323.85171767056,4,37,0.0,1.0,0.0,0.0,0.0,34.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.5,0.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0
81,38820,13613.87978655684,1,79,0.0,1.0,0.0,0.0,0.0,64.0,0.0,0.5240049415992813,1.0,1.0,0.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82,40153,228294.2918053378,4,105,1.0,0.0,0.0,0.0,0.0,23.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.5,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0
83,40166,62833.29132257003,1,118,1.0,0.0,0.0,0.0,0.0,24.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
84,40339,14870.54561300824,2,102,0.0,1.0,0.0,0.0,0.0,27.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
85,40701,141689.07193239543,2,62,1.0,0.0,0.0,0.0,0.0,77.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0
86,41389,57597.183712355865,1,228,0.0,0.0,1.0,0.0,0.0,30.0,1.0,0.5240049415992813,1.0,0.0,1.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
87,42111,94249.93698385505,2,74,0.0,1.0,0.0,0.0,0.0,25.5,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,22.5,0.0,1.0,0.0,0.0,0.5,0.5,2.5,0.5,0.0,0.0,0.0,0.0,0.5
88,42433,54539.296867990786,1,54,0.0,0.0,0.0,0.0,1.0,65.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
89,43229,41888.86088171336,3,72,0.0,0.0,0.0,0.0,1.0,28.666666666666668,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.3333333333333333,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,1.0,0.0,0.0
90,43816,219916.5196289951,2,128,0.0,0.0,1.0,0.0,0.0,56.0,1.0,0.5240049415992813,1.0,1.0,1.0,0.0,0.0,37.5,0.0,0.0,1.0,0.0,0.5,0.5,3.0,0.5,0.0,0.0,0.5,0.0,0.0
91,45595,137395.4636920198,4,113,0.0,1.0,0.0,0.0,0.0,24.25,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.75,0.25,2.0,0.0,0.0,0.0,1.0,0.0,0.0
92,46483,61262.45903950578,2,109,1.0,0.0,0.0,0.0,0.0,79.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0433146924250127,0.6217602343428477,0.23057714188878398,0.23057714188878384,0.5,0.5,3.0,0.5,0.0,0.0,0.5,0.0,0.0
93,47555,84824.94328546955,3,65,0.0,0.0,1.0,0.0,0.0,26.0,1.0,0.5240049415992813,1.0,1.0,1.0,2.0,0.0,16.666666666666668,1.0,0.0,0.0,0.0,1.0,0.0,4.666666666666667,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
