hhid,numchildren,hh_wt_revised,hhincome_broad,hhsize,vehicle_count,home_ownership,offpark,year_residence,mean_age,proportion_white,mean_education_year,proportion_employed,proportion_student,mean_distance,mean_depart_time,mean_num_travelers,prop_driving_alone,prop_driving_with_others,prop_transit,prop_biking,prop_walking,mean_duration,prop_went_home,prop_went_work,prop_errands,prop_social,prop_gave_ride,cluster
17149778,0,227.01187794284098,5.0,2,1,1.0,1,3,29.5,1.0,4.0,1.0,0.0,2.1738664435,778.3333333333335,1.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,9.833333333333334,0.5,0.16666666666666666,0.3333333333333333,0.0,0.0,1
17149779,0,1062.69789829842,5.0,2,1,0.0,0,2,29.5,0.5,4.0,1.0,0.0,14.809578880714286,728.5714285714287,1.7142857142857142,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,23.285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,2
17149804,0,24.9135266366707,3.0,1,1,0.0,6,3,49.5,1.0,2.0,1.0,0.0,5.7940774511666655,799.1666666666665,1.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,11.166666666666664,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,2
17149809,0,72.6847889011189,5.0,1,1,1.0,2,2,59.5,1.0,6.0,0.0,0.0,22.997562080333328,474.16666666666674,1.8333333333333333,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,29.16666666666667,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,5
17149891,0,6.98173896480525,2.0,1,1,1.0,1,4,59.5,1.0,4.0,1.0,0.0,2.6138316321111112,698.8888888888888,1.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.5555555555555556,9.0,0.3333333333333333,0.0,0.5555555555555556,0.1111111111111111,0.0,5
17149910,0,115.573186606597,2.0,2,2,0.0,1,2,30.25,1.0,4.0,1.0,0.5,2.8240355993846156,693.0769230769231,1.5384615384615383,0.07692307692307693,0.4615384615384616,0.2307692307692308,0.0,0.2307692307692308,9.384615384615383,0.3076923076923077,0.07692307692307693,0.38461538461538464,0.2307692307692308,0.0,2
17149922,0,432.030176439493,5.0,1,1,1.0,10,3,39.5,0.0,4.0,1.0,0.0,6.759149464799999,538.0,1.0,0.6,0.0,0.0,0.0,0.4,11.4,0.4,0.2,0.4,0.0,0.0,1
17149932,2,7.657566802756291,3.0,4,1,1.0,2,2,20.75,0.5,6.0,0.5,0.0,2.115439293882353,520.8823529411766,2.176470588235294,0.5882352941176471,0.0,0.1176470588235294,0.0,0.29411764705882354,6.117647058823528,0.4705882352941176,0.1176470588235294,0.05882352941176471,0.1176470588235294,0.2352941176470588,0
17149957,0,92.5908032253516,4.0,1,1,0.0,0,1,29.5,1.0,6.0,1.0,0.0,2.0769332100532885,841.625,1.6666666666666667,0.65,0.0,0.15,0.0,0.2,11.25,0.2765957446808511,0.1276595744680851,0.2127659574468085,0.3829787234042553,0.0,2
17149976,0,994.307431413874,3.0,2,0,0.0,4,1,34.5,1.0,3.0,1.0,0.5,1.233421435,821.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,5.333333333333333,0.5,0.5,0.0,0.0,0.0,3
17149981,0,45.819657940441395,3.0,1,1,0.0,1,3,39.5,0.0,6.0,1.0,1.0,0.5806090624,688.0,1.4,0.0,0.0,0.0,0.0,1.0,4.6,0.2,0.4,0.2,0.2,0.0,2
17150008,1,23.345481611283397,5.0,3,2,0.0,1,1,23.66666666666667,1.0,4.0,0.5,0.0,1.5990361314,708.0,1.6,0.8,0.0,0.0,0.0,0.2,7.2,0.4,0.1,0.5,0.0,0.0,0
17150013,2,14.4500000000002,5.0,5,2,1.0,0,3,30.9,1.0,5.333333333333333,1.0,0.3333333333333333,5.5156618190666675,614.6666666666666,1.9333333333333331,0.6666666666666666,0.06666666666666668,0.13333333333333333,0.0,0.13333333333333333,15.4,0.4,0.26666666666666666,0.06666666666666668,0.13333333333333333,0.13333333333333333,0
17150040,2,22.539093206013998,5.0,4,1,1.0,1,2,20.75,1.0,6.0,1.0,0.0,2.0993044388,613.5,2.9,0.7,0.0,0.15,0.0,0.15,9.0,0.3684210526315789,0.15789473684210525,0.0,0.10526315789473684,0.3684210526315789,0
17150054,0,24.799462460098,5.0,2,2,0.0,0,1,29.5,1.0,4.0,1.0,0.0,10.994331352833335,665.0,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,21.5,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,1
17150062,0,25.711470407724104,5.0,2,1,0.0,10,2,69.5,1.0,6.0,0.0,0.0,0.9032958994285716,677.1428571428571,2.0,0.42857142857142855,0.0,0.0,0.0,0.5714285714285714,6.571428571428571,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,0.0,5
17150363,0,6.975000000000019,2.0,1,0,0.0,1,3,39.5,1.0,4.0,1.0,1.0,4.642676988333334,516.6666666666666,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,8.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,3
17150383,0,101.140712893832,1.0,1,1,0.0,0,2,69.5,1.0,1.0,0.0,0.0,3.9300162322500003,721.25,1.0,0.0,0.0,1.0,0.0,0.0,13.75,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,5
17150429,0,64.1809922583645,5.0,2,1,1.0,1,3,35.25,0.0,3.0,1.0,0.0,11.6302010075,832.5,1.0,1.0,0.0,0.0,0.0,0.0,22.75,0.5,0.25,0.0,0.25,0.0,1
17150433,0,24.1351944110939,5.0,2,1,0.0,1,3,34.5,0.5,4.0,1.0,0.0,2.654108555125,485.625,1.125,0.125,0.0,0.375,0.0,0.5,9.5,0.375,0.25,0.375,0.0,0.0,3
17150482,1,16.653903983961502,1.0,3,1,0.0,1,2,40.833333333333336,0.0,3.0,0.0,1.0,5.5541246835,695.4166666666665,1.9166666666666667,0.9090909090909092,0.09090909090909093,0.0,0.0,0.0,15.666666666666664,0.25,0.25,0.25,0.25,0.0,2
17150579,0,13.1504684495821,4.0,2,1,0.0,10,3,29.5,1.0,2.5,1.0,0.0,5.514646317358478,993.3703703703703,1.4444444444444444,0.4444444444444444,0.0,0.3703703703703704,0.0,0.1851851851851852,23.14814814814815,0.4444444444444444,0.2222222222222222,0.25925925925925924,0.07407407407407407,0.0,2
17150599,0,70.9428696383873,5.0,2,2,1.0,1,3,29.5,1.0,3.0,1.0,0.0,14.520663557999999,675.0,1.25,0.875,0.0,0.125,0.0,0.0,24.875,0.25,0.125,0.125,0.375,0.125,1
17150604,0,11.681657208707302,1.0,1,0,0.0,0,3,39.5,1.0,4.0,0.0,0.0,0.969377895589756,886.0625,1.0,0.0,0.0,0.625,0.0,0.375,13.875,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,5
17150626,1,526.313050978486,5.0,3,2,0.0,1,2,23.66666666666667,0.5,2.0,1.0,0.0,7.646529389299999,509.0,1.4,1.0,0.0,0.0,0.0,0.0,14.7,0.3,0.4,0.1,0.0,0.2,0
17150640,0,15.6924369899471,3.0,1,1,1.0,1,4,69.5,0.0,4.0,1.0,0.0,4.0727762195,838.75,1.0,1.0,0.0,0.0,0.0,0.0,12.75,0.25,0.25,0.5,0.0,0.0,1
17150680,1,627.658037996653,5.0,3,1,1.0,1,3,27.0,0.0,4.0,1.0,1.0,3.510077548125,621.875,2.0,0.5,0.0,0.25,0.0,0.25,10.875,0.25,0.375,0.0,0.125,0.25,0
