uv_origin,google_duration,trip_path_distance,hhsize,hh_rent,hh_own,depart_time,hhincome_broad,rent_own,numchildren,vehicle_count,weekday_am,weekday_mid,weekday_pm,weekday_late,residency_under5,residency_over5,income_under25,income_25_50,income_75_100,income_over100,drive_alone,pct_white,trip_wt_final,drive_alone_threshold
Ravenna,7.857699966144149,1.5839464291076821,1.8583486436723635,0.7666498094587897,0.23335019054121053,12.057932926780579,2.316821270798496,1.7666498094587901,0.1982928647284923,1.266764258755025,0.3728649983574021,0.36186469710467806,0.11023404251320754,0.10482651775897339,0.5205285854082127,0.4794714145917876,0.18016646600356756,0.6030611609326192,2.2084753197099502e-05,0.11842690829119151,0.34828841555651996,0.73525809540209,3886.824752404999,1
Roosevelt,9.125199712574439,2.263193260637454,2.998325935604437,0.3831506045960098,0.61684939540399,11.737992412595464,3.918173867650903,1.3831506045960102,0.8758592705526923,1.7183562809409945,0.31237197357451496,0.37917194046556113,0.2029951816378083,0.030200725156670886,0.38820255885020916,0.6117974411497905,0.11956754694272073,0.05521121025913827,0.0017225504385655727,0.5224588989163812,0.3073429124410161,0.8007277258579539,16910.029308359015,1
South Lake Union,9.584418958512272,2.100256017879156,1.8003552841392325,0.6210317909244308,0.3600015751985592,14.51849249438903,4.09646718697388,1.6733195520510267,0.1998516571388701,1.085883653857301,0.07508487989727812,0.3867724673210632,0.4479212351370024,0.057930784836304705,0.695212312479812,0.30478768752018803,0.09994563599280137,0.07492173728908173,0.00045860855114104946,0.5955059868357031,0.1672689522875329,0.6725050241381546,69412.64388985102,1
South Park,13.567147842453542,5.450954745422056,2.4750269247280205,0.16305297278881953,0.8369470272111804,11.663784573037871,2.9695017324474096,1.1630529727888195,1.3449294197541193,3.3014144968342047,0.5471858313170449,0.23934387738297577,0.16267423050829688,0.0475999460188961,0.15257385894683057,0.8474261410531692,0.013451312665951632,0.6577760157992836,0.0011320994925015694,0.16501467342814977,0.5559165103795684,0.867570415695833,4920.598335175,0
University Campus,11.834498113071056,2.270336973166796,2.0422223293849515,0.3522450956159201,0.637115629363131,13.737896119712879,3.8499798965281258,1.3873486879346422,0.04909739659457453,1.6490733178649524,0.18230215994739346,0.5222710160168154,0.2530071275844657,0.039763825192852514,0.5034995248769336,0.4965004751230674,0.16766159104137204,0.06447489284389044,0.0031230774835983347,0.45577545108633694,0.07308604115239019,0.8693961263406091,97367.24221848584,1
University District Northwest,8.180724310436744,1.5306339785456278,2.314732011568481,0.42646294202450785,0.5552131461606137,14.176834467888321,3.9921953485116854,1.475135167571244,0.3492403679018081,1.2354193094245702,0.09974610410585469,0.5025204931754005,0.29649558651418617,0.09592360680273007,0.5738755673289271,0.42612443267107464,0.11788590398738465,0.08575154484469195,0.0004895728770776884,0.4661242808814053,0.13534503771933973,0.7020351290032116,74429.98689245287,1
Upper Queen Anne,8.38199486235167,1.5719616106457683,1.7705613104638593,0.4720736867178461,0.5148953672316303,11.26476364347953,4.3656245879982585,1.5147175332619036,0.05803934315785607,0.6882702842077472,0.5558314294471023,0.14785554387497019,0.22655344080390558,0.04798013548409846,0.5715061322689978,0.42849386773100184,0.0953111421762867,0.06809815940461247,2.5195807072173807e-05,0.7985495556986772,0.09307510395042241,0.6978293271618037,2362.6295507350005,1
Uptown,10.592765595130682,2.717780499454895,1.950406974096742,0.4357068412349472,0.564293158765053,13.311799648337407,4.350626011630595,1.4357068412349463,0.15408735333819784,1.3230521964537,0.19169174614282397,0.4223622187706659,0.21782980912974845,0.10229861043796155,0.4674663339297838,0.5325336660702162,0.04930873005641464,0.06382531957437526,0.0016935532255969669,0.6443642538989016,0.2561935797592805,0.744320831858624,38136.742630839,1
Wallingford,7.140780421626546,1.611648538211503,3.103199131152184,0.3803510503475843,0.61946872989109,14.061743763919942,4.583015542077689,1.3810719293928857,0.8607748393983403,2.1417801159913794,0.15101881606893694,0.3205946261879583,0.468010880772923,0.02048474302227332,0.24438752650938178,0.7556124734906177,0.007592484453612016,0.07931287433656467,0.0007373668755622539,0.6984085557732205,0.2664537113945059,0.8458199929615425,57070.82061575501,1
West Seattle Junction,7.632822184355644,2.224043964860469,2.090522505169069,0.5912248581501164,0.40877514184988395,14.551258915901554,3.1215863490471785,1.5912248581501176,0.29462832784214543,1.5674930247489423,0.26872518024949404,0.21754240900123764,0.4207818419882637,0.0870379966506302,0.42491590006130897,0.5750840999386914,0.15790967555637328,0.3273139263701798,0.0002832148312408724,0.3577040286576997,0.22543312690131667,0.7638697466407335,41211.560436185995,1
Westwood-Highland Park,8.94518005022478,2.511263040962963,1.54334587427301,0.39466695310167593,0.6053330468983242,12.812495336620993,2.022349801924401,1.3946669531016762,0.3205327620011036,1.0122924110102447,0.1313177236566513,0.6094715222836877,0.1984367820774095,0.03617809849878049,0.07197315337966283,0.9280268466203373,0.6801571033630646,0.06447390281267588,0.0008952050855712722,0.0983101553407612,0.43508581788317013,0.6314179333620143,13696.521834216997,0
