block_group,mode,departure_time,distance,duration,destination,lat,lon,address,class,type,city,rating
530330049002,bicycling,2018-07-26 07:00:00-07:00,3.1733996270975764,25.25,Westlake Center,47.611603,-122.33691,,citywide,Transit Hub,,
530330033001,bicycling,2018-07-26 07:00:00-07:00,12.28899937849596,70.08333333333333,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330082002,bicycling,2018-07-26 07:00:00-07:00,7.929770043505282,54.45,North Seattle College,47.699252,-122.33352,,citywide,College,,
530330103003,bicycling,2018-07-26 07:00:00-07:00,0.6880049720323183,4.6,Kaiser Permanente Rainier Medical Center,47.5542189,-122.2796936,5316 Rainier Avenue South,hospital,,Seattle,4.1
530330097025,bicycling,2018-07-26 07:00:00-07:00,4.768800497203231,31.6,SODO,47.583574,-122.333555,,citywide,Major Employment Area,,
530330072002,bicycling,2018-07-26 07:00:00-07:00,0.2753262896208825,1.3333333333333333,Amazon Go,47.616275099999996,-122.3398622,2131 7th Avenue,supermarket,,Seattle,4.7
530330069004,bicycling,2018-07-26 07:00:00-07:00,0.6774394033561218,6.4833333333333325,McClure Middle School,47.636736600000006,-122.3589594,1915 1st Avenue West,school,,Seattle,2.0
530330022001,bicycling,2018-07-26 07:00:00-07:00,11.634555624611561,71.58333333333333,King Street Station,47.598939,-122.329158,,citywide,Transit Hub,,
530330022001,bicycling,2018-07-26 07:00:00-07:00,1.5811062771908018,10.716666666666667,Lake City,47.71746596,-122.2949054,,urban_village,,,
530330002003,bicycling,2018-07-26 07:00:00-07:00,1.6134244872591672,13.183333333333335,Lakeside Middle School,47.727678999999995,-122.3275134,13510 1st Avenue Northeast,school,,Seattle,4.4
530330005003,bicycling,2018-07-26 07:00:00-07:00,9.18955873213176,60.08333333333334,Downtown Commercial Core,47.608001,-122.334658,,citywide,Major Employment Area,,
530330070002,bicycling,2018-07-26 07:00:00-07:00,0.8607830950901181,11.633333333333333,Queen Anne Branch - The Seattle Public Library,47.633813599999996,-122.36266499999999,400 West Garfield Street,library,,Seattle,4.4
530330100012,bicycling,2018-07-26 07:00:00-07:00,3.1615910503418267,18.8,King Street Station,47.598939,-122.329158,,citywide,Transit Hub,,
530330119002,bicycling,2018-07-26 07:00:00-07:00,1.7116221255438158,10.0,Neighborcare Health at Rainier Beach (Medical & Dental),47.519612,-122.26923899999998,9245 Rainier Avenue South,pharmacy,,Seattle,4.0
530330067001,bicycling,2018-07-26 07:00:00-07:00,2.386575512740833,23.966666666666665,Seattle Central College,47.616587,-122.321611,,citywide,College,,
530330025002,bicycling,2018-07-26 07:00:00-07:00,6.899937849596022,49.5,Downtown Pioneer Square,47.601651000000004,-122.334226,,citywide,Major Employment Area,,
530330057005,bicycling,2018-07-26 07:00:00-07:00,5.880049720323182,36.41666666666666,Westlake Center,47.611603,-122.33691,,citywide,Transit Hub,,
530330100023,bicycling,2018-07-26 07:00:00-07:00,9.476072094468618,69.96666666666667,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330081002,bicycling,2018-07-26 07:00:00-07:00,8.328154133001865,58.11666666666667,Northgate Transit Center,47.702358000000004,-122.32721000000001,,citywide,Transit Hub,,
530330096005,bicycling,2018-07-26 07:00:00-07:00,7.579863269111249,52.58333333333334,Seattle Central College,47.616587,-122.321611,,citywide,College,,
530330048004,bicycling,2018-07-26 07:00:00-07:00,2.420758234928527,13.35,Gasworks Park,47.646570000000004,-122.33530800000001,,destination_park,,,
530330058014,bicycling,2018-07-26 07:00:00-07:00,1.2684897451833437,6.8,Trader Joe's,47.6628098,-122.37454809999998,4609 14th Avenue Northwest,supermarket,,Seattle,4.5
530330094003,bicycling,2018-07-26 07:00:00-07:00,6.266625233064015,42.083333333333336,University of Washington,47.655614,-122.30521100000001,,citywide,Major Employment Area,,
530330015001,bicycling,2018-07-26 07:00:00-07:00,7.244251087632071,45.28333333333333,South Lake Union,47.61880896,-122.3379719,,urban_village,,,
530330015001,bicycling,2018-07-26 07:00:00-07:00,7.244251087632071,45.28333333333333,South Lake Union,47.622933,-122.33710500000001,,citywide,Major Employment Area,,
530330102003,bicycling,2018-07-26 07:00:00-07:00,1.3368551895587322,7.716666666666668,Columbia City,47.55949393,-122.2885288,,urban_village,,,
530330110013,bicycling,2018-07-26 07:00:00-07:00,5.648228713486638,33.25,King Street Station,47.598939,-122.329158,,citywide,Transit Hub,,
530330061004,bicycling,2018-07-26 07:00:00-07:00,1.6991920447482909,15.4,Capitol Hill Branch - The Seattle Public Library,47.6229294,-122.32231850000001,425 Harvard Avenue East,library,,Seattle,4.5
530330029002,bicycling,2018-07-26 07:00:00-07:00,0.5195773772529522,3.4166666666666665,Greenwood Branch - The Seattle Public Library,47.6874519,-122.3547574,8016 Greenwood Avenue North,library,,Seattle,4.5
530330060002,bicycling,2018-07-26 07:00:00-07:00,0.5494095711622126,7.433333333333334,Caffe Ladro Upper Queen Anne,47.638656,-122.35711299999998,2205 Queen Anne Avenue North,cafe,,Seattle,4.4
530330101003,bicycling,2018-07-26 07:00:00-07:00,4.721566190180236,36.98333333333333,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330101003,bicycling,2018-07-26 07:00:00-07:00,4.721566190180236,36.98333333333333,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
530330011001,bicycling,2018-07-26 07:00:00-07:00,1.6239900559353635,9.5,Northgate Transit Center,47.702358000000004,-122.32721000000001,,citywide,Transit Hub,,
530330020002,bicycling,2018-07-26 07:00:00-07:00,3.5587321317588563,20.03333333333333,University of Washington,47.655614,-122.30521100000001,,citywide,Major Employment Area,,
530330099002,bicycling,2018-07-26 07:00:00-07:00,0.550652579241765,3.816666666666667,Uptown Espresso and Gameporium,47.568767,-122.36378500000001,3845 Delridge Way Southwest,cafe,,Seattle,4.7
530330080014,bicycling,2018-07-26 07:00:00-07:00,0.4232442510876321,4.883333333333334,2nd Avenue Grocery,47.613768799999995,-122.3456756,2231 2nd Avenue,supermarket,,Seattle,3.0
530330009001,bicycling,2018-07-26 07:00:00-07:00,13.527656929770044,76.95,Bellevue-Square,47.615522999999996,-122.199049,,citywide,Major Employment Area,,
530330041006,bicycling,2018-07-26 07:00:00-07:00,5.656308266003729,38.31666666666667,Seattle Central College,47.616587,-122.321611,,citywide,College,,
530330038002,bicycling,2018-07-26 07:00:00-07:00,6.474207582349285,44.03333333333333,First Hill,47.60790794,-122.3260425,,urban_village,,,
530330038002,bicycling,2018-07-26 07:00:00-07:00,6.474207582349285,44.03333333333333,First Hill,47.609421999999995,-122.32512,,citywide,Major Employment Area,,
